player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category
Christian Pulisic,315779,22/23,Knee problems,2023-01-05,2023-03-05,59,13,23,1998-09-18,95,United States,Chelsea,13,Premier League,82,48000000,120000,177,69,SUB,2022-09-01,C. Pulisic,Christian Pulisic,Christian Pulisic,Right,Medium/Medium,Lean (170-185),87,Jan,joint and ligament injuries,other
Gianluca Scamacca,315867,22/23,Knee surgery,2023-04-18,2023-07-09,82,14,23,1999-01-01,27,Italy,West Ham United,13,Premier League,80,33500000,73000,195,85,SUB,2022-09-01,G. Scamacca,Gianluca Scamacca,Gianluca Scamacca,Right,Medium/Medium,Normal (185+),73,Apr,surgeries,other
Gianluca Scamacca,315867,22/23,Meniscus injury,2023-04-01,2023-04-18,17,5,23,1999-01-01,27,Italy,West Ham United,13,Premier League,80,33500000,73000,195,85,SUB,2022-09-01,G. Scamacca,Gianluca Scamacca,Gianluca Scamacca,Right,Medium/Medium,Normal (185+),73,Apr,joint and ligament injuries,other
Gianluca Scamacca,315867,22/23,Knee injury,2023-01-20,2023-02-19,30,5,23,1999-01-01,27,Italy,West Ham United,13,Premier League,80,33500000,73000,195,85,SUB,2022-09-01,G. Scamacca,Gianluca Scamacca,Gianluca Scamacca,Right,Medium/Medium,Normal (185+),73,Jan,joint and ligament injuries,other
Gianluca Scamacca,315867,22/23,unknown injury,2022-11-14,2022-12-27,43,3,23,1999-01-01,27,Italy,West Ham United,13,Premier League,80,33500000,73000,195,85,SUB,2022-09-01,G. Scamacca,Gianluca Scamacca,Gianluca Scamacca,Right,Medium/Medium,Normal (185+),73,Nov,unknown injuries,other
Scott McTominay,315969,22/23,unknown injury,2023-04-09,2023-05-17,38,9,25,1996-12-08,42,Scotland,Manchester United,13,Premier League,80,25000000,100000,193,88,RCM,2022-09-01,S. McTominay,Scott McTominay,Scott McTominay,Right,Medium/High,Normal (185+),63,Apr,unknown injuries,midfielders
Scott McTominay,315969,22/23,unknown injury,2023-01-27,2023-02-18,22,6,25,1996-12-08,42,Scotland,Manchester United,13,Premier League,80,25000000,100000,193,88,RCM,2022-09-01,S. McTominay,Scott McTominay,Scott McTominay,Right,Medium/High,Normal (185+),63,Jan,unknown injuries,midfielders
Felix Gotze,330635,22/23,influenza,2023-03-24,2023-04-17,24,5,24,1998-02-11,21,Germany,FC Augsburg,19,Bundesliga,67,1300000,7000,185,80,SUB,2022-09-01,F. Götze,Felix Götze,Felix Götze,Right,Medium/Medium,Normal (185+),62,Mar,illnesses and infections,other
Felix Gotze,330635,22/23,Knee injury,2023-02-20,2023-03-12,20,4,24,1998-02-11,21,Germany,FC Augsburg,19,Bundesliga,67,1300000,7000,185,80,SUB,2022-09-01,F. Götze,Felix Götze,Felix Götze,Right,Medium/Medium,Normal (185+),62,Feb,joint and ligament injuries,other
Felix Gotze,330635,22/23,Torn muscle fiber,2023-01-07,2023-01-31,24,3,24,1998-02-11,21,Germany,FC Augsburg,19,Bundesliga,67,1300000,7000,185,80,SUB,2022-09-01,F. Götze,Felix Götze,Felix Götze,Right,Medium/Medium,Normal (185+),62,Jan,muscle injuries,other
Tyler Adams,332705,22/23,Hamstring injury,2023-03-15,NA,348,NA,23,1999-02-14,95,United States,Leeds United,13,Premier League,76,10000000,29000,175,72,RDM,2022-09-01,T. Adams,Tyler Shaan Adams,Tyler Adams,Right,High/High,Normal (170-185),80,Mar,muscle injuries,midfielders
Nicolas Pepe,343052,22/23,Knee injury,2023-04-20,2023-08-20,122,4,27,1995-05-29,108,Côte d'Ivoire,Arsenal,13,Premier League,79,18500000,83000,183,73,SUB,2022-09-01,N. Pépé,Nicolas Pépé,Nicolas Pépé,Left,High/Medium,Unique,88,Apr,joint and ligament injuries,other
Nicolas Pepe,343052,22/23,Calf injury,2023-04-08,2023-04-17,9,3,27,1995-05-29,108,Côte d'Ivoire,Arsenal,13,Premier League,79,18500000,83000,183,73,SUB,2022-09-01,N. Pépé,Nicolas Pépé,Nicolas Pépé,Left,High/Medium,Unique,88,Apr,muscle injuries,other
Nicolas Pepe,343052,22/23,Knee injury,2023-01-28,2023-03-15,46,9,27,1995-05-29,108,Côte d'Ivoire,Arsenal,13,Premier League,79,18500000,83000,183,73,SUB,2022-09-01,N. Pépé,Nicolas Pépé,Nicolas Pépé,Left,High/Medium,Unique,88,Jan,joint and ligament injuries,other
Domagoj Bradaric,357796,22/23,unknown injury,2023-06-01,2023-06-05,4,2,22,1999-12-10,10,Croatia,Salernitana,31,Serie A,73,4600000,17000,178,69,LM,2022-09-01,D. Bradarić,Domagoj Bradarić,Domagoj Bradarić,Left,High/Low,Lean (170-185),78,Jun,unknown injuries,midfielders
Domagoj Bradaric,357796,22/23,Muscle injury,2022-07-31,2022-08-16,16,2,22,1999-12-10,10,Croatia,Salernitana,31,Serie A,73,4600000,17000,178,69,LM,2022-09-01,D. Bradarić,Domagoj Bradarić,Domagoj Bradarić,Left,High/Low,Lean (170-185),78,Jul,muscle injuries,midfielders
Ferdy Druijf,360519,22/23,Hamstring injury,2023-03-02,2023-04-04,33,4,24,1998-02-12,34,Netherlands,Rapid Vienna,80,Bundesliga,69,2100000,13000,190,83,SUB,2022-09-01,F. Druijf,Ferdy Druijf,Ferdy Druijf,Right,Medium/Medium,Normal (185+),58,Mar,muscle injuries,other
Ferdy Druijf,360519,22/23,Thigh problems,2023-02-02,2023-02-18,16,2,24,1998-02-12,34,Netherlands,Rapid Vienna,80,Bundesliga,69,2100000,13000,190,83,SUB,2022-09-01,F. Druijf,Ferdy Druijf,Ferdy Druijf,Right,Medium/Medium,Normal (185+),58,Feb,miscellaneous,other
Vladyslav Dubinchak,366723,22/23,Rib fracture,2022-10-21,2022-11-08,18,5,24,1998-07-01,49,Ukraine,Dynamo Kyiv,332,Premier League,70,2200000,500,173,62,LB,2022-09-01,V. Dubinchak,Vladyslav Dubinchak,Vladyslav Dubinchak,Left,Medium/High,Lean (170-185),77,Oct,bone injuries,defenders
Julien Laporte,386057,22/23,Knee surgery,2023-02-03,2023-04-30,86,13,28,1993-11-04,18,France,Lorient,16,Ligue 1,73,2900000,15000,185,82,RCB,2022-09-01,J. Laporte,Julien Laporte,Julien Laporte,Right,Medium/Medium,Normal (185+),44,Feb,surgeries,defenders
Julien Laporte,386057,22/23,Hamstring injury,2022-12-30,2023-01-22,23,5,28,1993-11-04,18,France,Lorient,16,Ligue 1,73,2900000,15000,185,82,RCB,2022-09-01,J. Laporte,Julien Laporte,Julien Laporte,Right,Medium/Medium,Normal (185+),44,Dec,muscle injuries,defenders
Nicolo Zaniolo,392085,22/23,depression,2023-01-31,2023-02-08,8,NA,22,1999-07-02,27,Italy,Roma,31,Serie A,81,53000000,71000,190,75,RF,2022-09-01,N. Zaniolo,Nicolò Zaniolo,Nicolò Zaniolo,Left,High/Medium,Unique,87,Jan,illnesses and infections,forwards
Nicolo Zaniolo,392085,22/23,flu,2023-01-15,2023-01-18,3,1,22,1999-07-02,27,Italy,Roma,31,Serie A,81,53000000,71000,190,75,RF,2022-09-01,N. Zaniolo,Nicolò Zaniolo,Nicolò Zaniolo,Left,High/Medium,Unique,87,Jan,illnesses and infections,forwards
