player_name,player_id,season,injury,from,until,days_missed,games_missed,age,dob,nationality_id,nationality_name,club_name,league_id,league_name,overall,value_eur,wage_eur,height_cm,weight_kg,club_position,fifa_update_date,short_name,long_name,combined_name,preferred_foot,work_rate,body_type,pace,month,injury_category,position_category,total_days_missed,injury_count
Aaron Appindangoye,254249,22/23,unknown injury,2023-05-23,2023-06-07,15,3,30,1992-02-20,115,Gabon,Sivasspor,68,Super Lig,67,825000,6000,184,85,SUB,2022-09-01,A. Appindangoye,Aaron Appindangoye,Aaron Appindangoye,Right,Medium/Medium,Normal (170-185),52,May,unknown injuries,other,264,7
Aaron Hickey,591949,22/23,Ankle injury,2022-10-10,2022-12-31,82,9,20,2002-06-10,42,Scotland,Brentford,13,Premier League,75,12000000,28000,175,72,RB,2022-09-01,A. Hickey,Aaron Buchanan Hickey,Aaron Hickey,Right,High/High,Lean (170-185),77,Oct,joint and ligament injuries,defenders,94,2
Aaron McEneff,167264,21/22,Knock,2022-04-24,2022-05-08,14,3,25,1995-07-09,25,Republic of Ireland,Hearts,50,Premiership,65,950000,2000,175,70,SUB,2021-08-16,A. McEneff,Aaron McEneff,Aaron McEneff,Right,High/High,Normal (170-185),70,Apr,bruises and contusions,other,14,1
Aaron Meijers,56836,21/22,unknown injury,2022-02-01,2022-02-08,7,1,33,1987-10-28,34,Netherlands,Sparta Rotterdam,10,Eredivisie,67,525000,4000,176,77,SUB,2021-09-23,A. Meijers,Aaron Meijers,Aaron Meijers,Left,Medium/Medium,Normal (170-185),64,Feb,unknown injuries,other,7,1
Aaron Mooy,123951,22/23,Knee injury,2023-05-09,2023-07-03,55,NA,31,1990-09-15,195,Australia,Celtic,50,Premiership,76,6000000,49000,175,68,SUB,2022-09-01,A. Mooy,Aaron Frank Mooy,Aaron Mooy,Right,Medium/Medium,Normal (170-185),62,May,joint and ligament injuries,other,55,1
Aaron Ramsey,646658,22/23,Knee injury,2022-12-09,2023-02-15,68,NA,31,1990-12-26,50,Wales,Nice,16,Ligue 1,76,6000000,38000,183,76,LCM,2022-09-01,A. Ramsey,Aaron James Ramsey,Aaron Ramsey,Right,Medium/Medium,Lean (170-185),51,Dec,joint and ligament injuries,midfielders,162,6
Aaron Wan-Bissaka,477758,22/23,Back problems,2022-09-12,2022-10-25,43,8,24,1997-11-26,14,England,Manchester United,13,Premier League,80,26500000,90000,183,72,SUB,2022-09-01,A. Wan-Bissaka,Aaron Wan-Bissaka,Aaron Wan-Bissaka,Right,Medium/Medium,Unique,82,Sep,back injuries,other,57,3
Abdelhamid Sabiri,340394,22/23,Hamstring injury,2023-01-22,2023-02-10,19,3,25,1996-11-28,21,Germany,Sampdoria,31,Serie A,72,3400000,14000,186,80,LCM,2022-09-01,A. Sabiri,Abdelhamid Sabiri,Abdelhamid Sabiri,Right,Medium/Medium,Normal (185+),60,Jan,muscle injuries,midfielders,42,4
Abdou Diallo,229005,22/23,Knee problems,2023-01-23,2023-03-29,65,17,26,1996-05-04,136,Senegal,Paris Saint Germain,16,Ligue 1,77,11500000,61000,187,79,RES,2022-09-01,A. Diallo,Abdou Diallo,Abdou Diallo,Left,Medium/Medium,Normal (185+),72,Jan,joint and ligament injuries,other,70,2
Abdoulaye Doucoure,127187,22/23,Hamstring injury,2022-08-13,2022-10-03,51,9,29,1993-01-01,126,Mali,Everton,13,Premier League,79,17000000,49000,184,76,RCM,2022-09-01,A. Doucouré,Abdoulaye Doucouré,Abdoulaye Doucouré,Right,High/High,Unique,67,Aug,muscle injuries,midfielders,93,2
